Gannt Chart:
BurstStart BurstEnd Job:
1646938879286 1646938881288 IDLE
1646938881288 1646938881289 IDLE
1646938881289 1646938881493 1
1646938881493 1646938881494 IDLE
1646938881494 1646938881795 2
1646938881795 1646938882095 3
1646938882095 1646938883095 IDLE
1646938883095 1646938883096 IDLE
1646938883096 1646938883405 4
1646938883405 1646938883405 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 -4002 IDLE
-4002 -4003 IDLE
-4003 -4212 1
-4212 -7213 IDLE
-7213 -7513 2
-7513 -7813 3
-7813 -7814 IDLE
-7814 -8116 4
-8116 -8116 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 1003 IDLE
1003 1004 IDLE
1004 1213 1
1213 4215 IDLE
4215 4517 2
4517 7518 IDLE
7518 7819 3
7819 8819 IDLE
8819 9120 4
9120 9120 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 4004 IDLE
4004 4005 IDLE
4005 4215 1
4215 7217 IDLE
7217 7521 2
7521 10521 IDLE
10521 10522 IDLE
10522 10830 3
10830 12832 IDLE
12832 13132 4
13132 13132 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 1001 IDLE
1001 1002 IDLE
1002 1210 1
1210 2211 IDLE
2211 2516 2
2516 4517 IDLE
4517 4821 3
4821 5124 4
5124 5124 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
9 10 IDLE
10 212 1
212 304 IDLE
304 305 IDLE
305 610 2
610 919 3
919 1226 4
1226 1226 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
9 10 IDLE
10 212 1
212 304 IDLE
304 604 2
604 605 IDLE
605 913 3
913 914 IDLE
914 1214 4
1214 1214 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 12 IDLE
12 14 IDLE
14 216 1
216 304 IDLE
304 605 2
605 606 IDLE
606 914 3
914 1217 4
1217 1217 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 8 IDLE
8 9 IDLE
9 212 1
212 304 IDLE
304 605 2
605 905 3
905 1210 4
1210 1210 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 8 IDLE
8 9 IDLE
9 213 1
213 304 IDLE
304 305 IDLE
305 612 2
612 917 3
917 1218 4
1218 1218 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 8 IDLE
8 9 IDLE
9 213 1
213 303 IDLE
303 304 IDLE
304 609 2
609 610 IDLE
610 917 3
917 1220 4
1220 1220 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
8 9 IDLE
9 213 1
213 304 IDLE
304 612 2
612 920 3
920 1227 4
1227 1227 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
8 9 IDLE
9 211 1
211 305 IDLE
305 613 2
613 922 3
922 923 IDLE
923 1229 4
1229 1229 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
8 9 IDLE
9 214 1
214 305 IDLE
304 305 IDLE
305 615 2
615 915 3
915 1218 4
1218 1218 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 10 IDLE
10 213 1
213 305 IDLE
305 607 2
607 608 IDLE
608 918 3
918 1219 4
1219 1219 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 11 IDLE
11 215 1
215 304 IDLE
304 604 2
604 606 IDLE
606 908 3
908 909 IDLE
909 1218 4
1218 1218 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 9 IDLE
9 213 1
213 305 IDLE
305 608 2
608 910 3
910 911 IDLE
911 1212 4
1212 1212 FINISHED

Gannt Chart:
BurstStart BurstEnd Job:
0 10 IDLE
10 213 1
213 305 IDLE
305 612 2
612 913 3
913 914 IDLE
914 1214 4
1214 1214 FINISHED

